SampleID,Species_Sceloporus,Zone,Sample,Year
ZB.H10.E35,Sceloporus grammicus,baja,Feces,2015
ZB.M16.E18,Sceloporus grammicus,baja,Feces,2015
ZB.M10.E11,Sceloporus grammicus,baja,Feces,2015
ZB.M9.E10,Sceloporus grammicus,baja,Feces,2015
ZB.M14.E16,Sceloporus grammicus,baja,Feces,2015
ZB.H20.E45,Sceloporus grammicus,baja,Feces,2015
ZB.H8.E33,Sceloporus grammicus,baja,Feces,2015
ZB.H13.E38,Sceloporus grammicus,baja,Feces,2015
ZB.H21.E46,Sceloporus grammicus,baja,Feces,2015
ZB.M8.E8,Sceloporus grammicus,baja,Feces,2015
ZB.H9.E34,Sceloporus grammicus,baja,Feces,2015
ZB.H2.E27,Sceloporus grammicus,baja,Feces,2015
ZB.M4.E4,Sceloporus grammicus,baja,Feces,2015
ZB.H16.E41,Sceloporus grammicus,baja,Feces,2015
ZB.H17.E42,Sceloporus grammicus,baja,Feces,2015
ZB.M13.E15,Sceloporus grammicus,baja,Feces,2015
ZB.H7.E32,Sceloporus grammicus,baja,Feces,2015
ZB.H18.E43,Sceloporus grammicus,baja,Feces,2015
ZB.M17.E19,Sceloporus grammicus,baja,Feces,2015
ZB.M20.E22,Sceloporus grammicus,baja,Feces,2015
ZB.H12.E37,Sceloporus grammicus,baja,Feces,2015
ZB.H11.E36,Sceloporus grammicus,baja,Feces,2015
ZB.H5.E30,Sceloporus grammicus,baja,Feces,2015
ZB.M7.E7,Sceloporus grammicus,baja,Feces,2015
ZB.M1.E1,Sceloporus grammicus,baja,Feces,2015
ZB.H4.E29,Sceloporus grammicus,baja,Feces,2015
ZB.H15.E40,Sceloporus grammicus,baja,Feces,2015
ZB.M2.E2,Sceloporus grammicus,baja,Feces,2015
ZB.M21.E23,Sceloporus grammicus,baja,Feces,2015
ZB.M18.E20,Sceloporus grammicus,baja,Feces,2015
ZB.M22.E24,Sceloporus grammicus,baja,Feces,2015
ZB.H14.E39,Sceloporus grammicus,baja,Feces,2015
ZB.M19.E21,Sceloporus grammicus,baja,Feces,2015
ZB.H1.E26,Sceloporus grammicus,baja,Feces,2015
ZB.H6.E31,Sceloporus grammicus,baja,Feces,2015
ZB.M6.E6,Sceloporus grammicus,baja,Feces,2015
ZB.M12.E14,Sceloporus grammicus,baja,Feces,2015
ZB.H3.E28,Sceloporus grammicus,baja,Feces,2015
Sa.F.D.28,Sceloporus aeneus,baja,Feces,2020
Sa.F.D.30,Sceloporus aeneus,baja,Feces,2020
Sa.F.D.33,Sceloporus aeneus,baja,Feces,2020
Sa.F.D.35,Sceloporus aeneus,baja,Feces,2020
Sa.M.D.27,Sceloporus aeneus,baja,Feces,2020
Sa.M.D.29,Sceloporus aeneus,baja,Feces,2020
Sa.M.D.31,Sceloporus aeneus,baja,Feces,2020
Sa.M.D.32,Sceloporus aeneus,baja,Feces,2020
Sa.M.D.36,Sceloporus aeneus,baja,Feces,2020
